"","Character","Script"
"1108","DALEK"," You will move ahead of us and follow my directions. This way. Immediately.   I said immediately!   Fire! "
"1110","DALEK"," Stop! Your legs are paralysed. You will recover shortly unless you force us to use our weapons again. In that case, the condition will be permanent. You two, help him. "
"1112","DALEK"," Stop here. "
"1139","DALEK"," Bring in the old man Thal prisoner. Two hundred days ago the radiation count was ninety three. "
"1140","DALEK"," It is now fifty eight. An impressive reduction. "
"1141","DALEK"," It is still enough to destroy. Our prisoners are showing preliminary stages of sickness already. "
"1142","DALEK"," We know the Thals are able to live on the surface. "
"1143","DALEK"," And that they must have found immunity. "
"1144","DALEK"," Perhaps it is a drug. Is it failing them now? Why are these four showing signs of radiation sickness? "
"1145","DALEK"," A few questions will reduce the mystery.   Do not move out of the light. Sit on the floor. "
"1146","DALEK"," You are one of the Thal people? "
"1148","DALEK"," Why are you suffering from radiation? "
"1150","DALEK"," No, that is not true. We know the Thals have existed outside our city. "
"1151","DALEK"," The truth is your supply of drugs has failed, and you came into the city to see if you could find more. "
"1153","DALEK"," You and your companions need a drug to stay alive. "
"1155","DALEK"," Tardis? He is becoming delirious. I do not understand his words. "
"1157","DALEK"," Stay in the light. "
"1159","DALEK"," We cannot move outside the city. "
"1161","DALEK"," Providing whoever you send understands the rest of you will be held responsible for his return. "
"1163","DALEK"," Then we agree. "
"1165","DALEK"," Over five hundred years ago there were two races on this planet. We, the Daleks, and the Thals. After the neutronic war, our Dalek forefathers retired into the city, protected my our machines. "
"1167","DALEK"," Most of them perished in the war, but we know that there are survivors. They must be disgustingly mutated, but the fact that they have survived tells us they must have a drug that preserves the life force. "
"1169","DALEK"," As you say yourself, all your lives depend on it. "
"1211","DALEK"," You must leave now. "
"1213","DALEK"," You must leave now. "
"1215","DALEK"," Which one of you is going? "
"1218","DALEK"," There are others. "
"1227","DALEK"," Are you ready? "
"1232","DALEK"," The child has set out. "
"1233","DALEK"," Her direction is being followed on the rangescopes? "
"1234","DALEK"," Yes. "
"1235","DALEK"," Mark her movements carefully. If there are more Thal people living in the jungle, she will try to contact them. "
"1236","DALEK"," I understand. If she returns with the drugs, am I to allow the prisoners to use it? "
"1237","DALEK"," No. They will die in time. There only value is in bringing us enough of the Thal drug to duplicate it for our own use. "
"1263","DALEK"," I have just come from the prisoners. The old man is dying. "
"1264","DALEK"," Then he must die. There is no help we can give him. How are the others? "
"1265","DALEK"," The woman is sleeping very heavily. The young man fights against it. "
"1266","DALEK"," What of the girl? Has she reached the jungle? "
"1267","DALEK"," Yes, the rangerscopes tracked her that far. Now they have lost her. "
